instrucciones_pasiva,instrucciones_activa,digitSpan_trainPF,digits_trainPF,fixation_time_trainPF,answer_trainPF,digitSpan_PF,digits_PF,fixation_time_PF,answer_PF,instrucloop_PF.thisRepN,instrucloop_PF.thisTrialN,instrucloop_PF.thisN,instrucloop_PF.thisIndex,trial_trainingPF.thisRepN,trial_trainingPF.thisTrialN,trial_trainingPF.thisN,trial_trainingPF.thisIndex,train_digitloopPF.thisRepN,train_digitloopPF.thisTrialN,train_digitloopPF.thisN,train_digitloopPF.thisIndex,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop_PF.thisRepN,digitLoop_PF.thisTrialN,digitLoop_PF.thisN,digitLoop_PF.thisIndex,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,Dificultad.started,Dificultad.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
datasets/instruccion2.png,datasets/instruccion2.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
datasets/instruccion3.png,datasets/instruccion3.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,83,0.55,38.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,35.98786090599606,None,36.54655768891098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,83,0.55,38.0,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,37.54658806847874,37.54658806847874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,83,0.55,38.0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,38.5632106095145,None,,38.5632106095145,None,1,[0.897127859730972],[0.8971331966749858],0,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,16,0.55,61.0,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,39.919136613141745,None,40.47873903514119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,16,0.55,61.0,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,41.47873328765854,41.47873328765854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,16,0.55,61.0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,42.47897509246832,None,,42.47897509246832,None,2,"[0.897127859730972, 0.9313537087000441]","[0.8971331966749858, 0.9313598667213228]",0,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,3,489.0,0.55,984.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,43.41114001729875,None,46.52981075592106,None,49.08986435530824,49.08986435530824,50.08941605166183,None,,50.08941605166183,None,1,[1.355302812269656],[1.3553114334936254],,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,3,235.0,0.55,532.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,,,51.92012559072464,None,54.48117925209226,54.48117925209226,55.48123097943608,None,,55.48123097943608,None,2,"[1.355302812269656, 0.965758550708415]","[1.3553114334936254, 0.9657688140578102]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,4,6810.0,0.55,186.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,,,56.92297511053039,None,60.4824342559732,60.4824342559732,61.49955970176961,None,,61.49955970176961,None,3,"[1.355302812269656, 0.965758550708415, 0.7106745943601709]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,4,3168.0,0.55,8613.0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,,,62.669280813395744,None,66.24589167884551,None,67.2458670467604,None,,67.2458670467604,None,4,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,5,81423.0,0.55,32418.0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,,,68.92381301140995,None,73.48343144424143,73.48343144424143,74.48345895003877,None,,74.48345895003877,None,5,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,5,90736.0,0.55,63709.0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,,,80.75451310817152,None,85.31510040236753,85.31510040236753,86.31578271067701,None,,86.31578271067701,None,6,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,6,153624.0,0.55,426351.0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,0,,,88.95936940261163,None,94.53583945473656,None,95.53590883506695,None,,95.53590883506695,None,7,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,6,819703.0,0.55,307918.0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,0,,,96.67158596447553,None,102.23133166300249,102.23133166300249,103.23152132992982,None,,103.23152132992982,None,8,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,7,1026597.0,0.55,7956201.0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,0,,,104.9605332678766,None,111.52090051560663,None,112.52118830027757,None,,112.52118830027757,None,9,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912, 1.5415031884040218]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973, 1.5415081148094032]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,7,8765312.0,0.55,2135678.0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,0,,,114.53831538819941,None,121.09826512236032,121.09826512236032,122.09828729121364,None,,122.09828729121364,None,10,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912, 1.5415031884040218, 1.0840068493562285]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973, 1.5415081148094032, 1.0840113652520813]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,8,93261458.0,0.55,85416239.0,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,0,,,123.65802354743937,None,131.2356771704799,None,132.23555893654702,None,,132.23555893654702,None,11,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912, 1.5415031884040218, 1.0840068493562285, 1.2698656608117744]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973, 1.5415081148094032, 1.0840113652520813, 1.2698701766785234]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,8,50914738.0,0.55,83741905.0,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,0,,,133.9810406967008,None,141.5418944277917,None,142.54201225118595,None,,142.54201225118595,None,12,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912, 1.5415031884040218, 1.0840068493562285, 1.2698656608117744, 1.4059923254826572]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973, 1.5415081148094032, 1.0840113652520813, 1.2698701766785234, 1.4059972518880386]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,9,431962507.0,0.55,705269134.0,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,0,,,144.42338379760622,None,152.9839308594237,None,153.98400845043943,None,,153.98400845043943,None,13,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912, 1.5415031884040218, 1.0840068493562285, 1.2698656608117744, 1.4059923254826572, 1.7283013027335983]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973, 1.5415081148094032, 1.0840113652520813, 1.2698701766785234, 1.4059972518880386, 1.728305818629451]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,9,901852346.0,0.55,643258109.0,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,0,,,156.18754733976675,None,164.74755783303408,None,165.74752499026363,None,,165.74752499026363,None,14,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912, 1.5415031884040218, 1.0840068493562285, 1.2698656608117744, 1.4059923254826572, 1.7283013027335983, 1.1520788029301912]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973, 1.5415081148094032, 1.0840113652520813, 1.2698701766785234, 1.4059972518880386, 1.728305818629451, 1.1520837293355726]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,10,1946738052.0,0.55,2508376491.0,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,0,,,167.37476337820408,None,176.93457722544554,176.93457722544554,177.93419501784956,None,,177.93419501784956,None,15,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912, 1.5415031884040218, 1.0840068493562285, 1.2698656608117744, 1.4059923254826572, 1.7283013027335983, 1.1520788029301912, 1.1344061146664899]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973, 1.5415081148094032, 1.0840113652520813, 1.2698701766785234, 1.4059972518880386, 1.728305818629451, 1.1520837293355726, 1.1344110411009751]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,10,4127509683.0,0.55,3869057214.0,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,0,,,179.54471972605097,None,189.10500650902395,None,190.10521095519653,None,,190.10521095519653,None,16,"[1.355302812269656, 0.965758550708415, 0.7106745943601709, 1.2026176499202847, 5.796042365516769, 2.1525640546751674, 0.6599337643710896, 1.253140075597912, 1.5415031884040218, 1.0840068493562285, 1.2698656608117744, 1.4059923254826572, 1.7283013027335983, 1.1520788029301912, 1.1344061146664899, 8.779291737708263]","[1.3553114334936254, 0.9657688140578102, 0.7106807523814496, 1.2026242184801959, 5.79604729192215, 2.152576370717725, 0.6599382802378386, 1.2531450020323973, 1.5415081148094032, 1.0840113652520813, 1.2698701766785234, 1.4059972518880386, 1.728305818629451, 1.1520837293355726, 1.1344110411009751, 8.779296253575012]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.91870924676186,None,1.9791666269302368,3.5061085477645975,198.91870924676186,None,,,,,,,
