n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,306.5933430989583,305.5928955078125, 306.59332275390625, 307.5937805175781,1.000442504999176,, 306.59333694607994, ,0.0, 1.0, 2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,316.86899820963544,315.8688659667969, 316.8689270019531, 317.86920166015625,1.0001678485808185,, 316.8689209383301, 317.8691902521532,0.0, 1.0, 2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,335.969482421875,334.46856689453125, 335.4690246582031, 336.4698791503906, 337.4704284667969,1.2918257505196256,, 335.4690211099369, , ,0.0, 1.0, 2.0, 3.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,346.6762390136719,345.1748046875, 346.17645263671875, 347.1765441894531, 348.1771240234375,1.2919046068818694,, , , ,0.0, 1.0, 2.0, 3.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,order,,,,
5.0,361.01513671875,359.0138854980469, 360.0143127441406, 361.0150146484375, 362.015380859375, 363.01702880859375,1.5823017546957847,, 360.0143171498712, 361.0150121930201, , ,0.0, 1.0, 2.0, 3.0, 4.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,order,,,,
5.0,376.004052734375,374.0032043457031, 375.0040283203125, 376.004150390625, 377.00433349609375, 378.004638671875,1.5816406678111201,, , , , ,0.0, 1.0, 2.0, 3.0, 4.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,,order,,,,,
6.0,404.1568603515625,401.6561584472656, 402.65606689453125, 403.6559143066406, 404.65899658203125, 405.6573486328125, 406.6566467285156,1.8713297818002614,, 402.65607105615345, 403.6559072509481, , , 406.6566532009783,0.0, 1.0, 2.0, 3.0, 4.0, 5.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,,order,,,,,
6.0,417.7373046875,415.2362060546875, 416.23626708984375, 417.2366638183594, 418.2370910644531, 419.2390441894531, 420.2386169433594,1.8719412638282613,, 416.2362711530441, 417.23665582843023, , , ,0.0, 1.0, 2.0, 3.0, 4.0, 5.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,,,order,,,,,,
7.0,435.43129185267856,432.4303283691406, 433.43084716796875, 434.4306945800781, 435.4309997558594, 436.4320983886719, 437.43157958984375, 438.43243408203125,2.160955621482938,, 433.43083396966904, 434.43069561790253, 435.4309862797745, , , ,0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,,,order,,,,,,
7.0,467.05106026785717,464.0506286621094, 465.0509033203125, 466.05096435546875, 467.051025390625, 468.0511169433594, 469.0509338378906, 470.0518798828125,2.1605529956706877,, 465.0509134500935, 466.05097420992024, 467.0510136216981, 468.0511174881576, 469.0509216608807, ,0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,,,,order,,,,,,,
8.0,480.4562683105469,476.954345703125, 477.9532470703125, 478.9568176269531, 479.9555969238281, 480.9560546875, 481.95806884765625, 482.9573669433594, 483.95849609375,2.4510606030798723,, 477.9532325869732, , , , , , ,0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,,,,order,,,,,,,
8.0,493.9346618652344,490.4323425292969, 491.4329833984375, 492.43621826171875, 493.43511962890625, 494.4339904785156, 495.4366149902344, 496.4355163574219, 497.4344482421875,2.4502909940905613,, 491.43298560649055, 492.43622804640836, , , , , ,0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,,,,,order,,,,,,,,
9.0,531.3275282118055,527.3259887695312, 528.3262329101562, 529.3265380859375, 530.32763671875, 531.327880859375, 532.3277587890625, 533.3282470703125, 534.328857421875, 535.3287963867188,2.7396463548033925,, 528.3262375709237, 529.3265450649087, , , , , , ,0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,,,,,order,,,,,,,,
9.0,546.0457356770834,542.0430908203125, 543.0443725585938, 544.0452880859375, 545.0443725585938, 546.046875, 547.0462036132812, 548.0460815429688, 549.0488891601562, 550.0462036132812,2.7399557615607177,, , , , , , , , ,0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,605.96875,604.9616088867188, 605.9642944335938, 606.9803466796875,1.0093762718848136,, , ,0.0, 1.0, 2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,614.505859375,613.5055541992188, 614.5057983398438, 615.5062255859375,1.0003356947558897,, 614.5057828575191, 615.5062443037677,0.0, 1.0, 2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,625.6526489257812,624.1525268554688, 625.1525268554688, 626.1526489257812, 627.15283203125,1.2911284032434813,, 625.1525371332864, 626.1526680953466, 627.1528450378137,0.0, 1.0, 2.0, 3.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,634.350830078125,632.8501586914062, 633.8513793945312, 634.8506469726562, 635.85107421875,1.2912545586621238,, 633.8513748963414, 634.8506190933658, 635.8510788974563,0.0, 1.0, 2.0, 3.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,order,,,,
5.0,641.86962890625,639.8687133789062, 640.8692016601562, 641.8697509765625, 642.8699951171875, 643.8704833984375,1.581824017715431,, 640.8691996945599, , , ,0.0, 1.0, 2.0, 3.0, 4.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,,order,,,,
5.0,650.092333984375,648.0918579101562, 649.0921630859375, 650.0924682617188, 651.092529296875, 652.092529296875,1.5814090488332937,, 649.0921484346145, 650.0924444334996, 651.0925014984714, ,0.0, 1.0, 2.0, 3.0, 4.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,880.015625,879.0152587890625, 880.014404296875, 881.0172119140625,1.0009771207482245,, 880.0143873521047, 881.0171855884291,0.0, 1.0, 2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,885.5596516927084,884.5592041015625, 885.5597534179688, 886.56005859375,1.0004272488865245,, 885.559744562408, ,0.0, 1.0, 2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,894.6050415039062,893.1046142578125, 894.1046752929688, 895.1049194335938, 896.1058959960938,1.2915224113652957,, 894.1046904122668, 895.1049133351407, ,0.0, 1.0, 2.0, 3.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,901.471435546875,899.97119140625, 900.9713745117188, 901.971435546875, 902.9716186523438,1.291167800906741,, 900.9713940274742, 901.9714215336135, 902.97160381309,0.0, 1.0, 2.0, 3.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,930.1488444010416,929.1487426757812, 930.1488647460938, 931.14892578125,1.000091552889581,, 930.1488504897752, 931.148907554747,0.0, 1.0, 2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,935.7623697916666,934.7609252929688, 935.76123046875, 936.7648315429688,1.001953577979706,, , ,0.0, 1.0, 2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,941.9246826171875,940.4240112304688, 941.42431640625, 942.4251098632812, 943.4254150390625,1.291640582962111,, 941.4243277417881, , ,0.0, 1.0, 2.0, 3.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,950.5372314453125,949.0370483398438, 950.0369262695312, 951.0372314453125, 952.0377197265625,1.291293886123004,, 950.036921036859, 951.0372408470248, 952.0377256940192,0.0, 1.0, 2.0, 3.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
