instrucciones_pasiva,instrucciones_activa,digitSpan_train,digits_train,fixation_time_train,answer_train,digitSpan,digits,fixation_time,answer,answer_AR,BlockPasivas.thisRepN,BlockPasivas.thisTrialN,BlockPasivas.thisN,BlockPasivas.thisIndex,instrucloop_Pasivas.thisRepN,instrucloop_Pasivas.thisTrialN,instrucloop_Pasivas.thisN,instrucloop_Pasivas.thisIndex,trial_trainingPasivas.thisRepN,trial_trainingPasivas.thisTrialN,trial_trainingPasivas.thisN,trial_trainingPasivas.thisIndex,train_digitloopPasivas.thisRepN,train_digitloopPasivas.thisTrialN,train_digitloopPasivas.thisN,train_digitloopPasivas.thisIndex,trial_Pasiva.thisRepN,trial_Pasiva.thisTrialN,trial_Pasiva.thisN,trial_Pasiva.thisIndex,digitLoop_Pasivas.thisRepN,digitLoop_Pasivas.thisTrialN,digitLoop_Pasivas.thisN,digitLoop_Pasivas.thisIndex,BlockActivas.thisRepN,BlockActivas.thisTrialN,BlockActivas.thisN,BlockActivas.thisIndex,intrLoopActivas.thisRepN,intrLoopActivas.thisTrialN,intrLoopActivas.thisN,intrLoopActivas.thisIndex,trial_train_Activas.thisRepN,trial_train_Activas.thisTrialN,trial_train_Activas.thisN,trial_train_Activas.thisIndex,train_digitloop_Activas.thisRepN,train_digitloop_Activas.thisTrialN,train_digitloop_Activas.thisN,train_digitloop_Activas.thisIndex,trialActivas.thisRepN,trialActivas.thisTrialN,trialActivas.thisN,trialActivas.thisIndex,digitLoop_Activas.thisRepN,digitLoop_Activas.thisTrialN,digitLoop_Activas.thisN,digitLoop_Activas.thisIndex,bienvenida.started,bienvenida.stopped,bienv2.started,bienv2.stopped,key_bienv.keys,key_bienv.rt,key_bienv.started,key_bienv.stopped,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,correct,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,post_recall_training.started,post_recall_training.stopped,end_training.started,end_training.stopped,first_fix_pas.started,first_fix_pas.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,postrecallPR.started,postrecallPR.stopped,Dificultad_pasivas.started,Dificultad_pasivas.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,continuetrial_pasivas.keys,continuetrial_pasivas.rt,continuetrial_pasivas.started,continuetrial_pasivas.stopped,firstfix_activas.started,firstfix_activas.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,firsfixtrain_activa.started,firsfixtrain_activa.stopped,digitpresentation_training_2.started,digitpresentation_training_2.stopped,recall_train_2.started,recall_train_2.stopped,answ_train_2.text,answ_train_2.started,answ_train_2.stopped,post_recall_training_2.started,post_recall_training_2.stopped,end_training_2.started,end_training_2.stopped,first_fix_active.started,first_fix_active.stopped,pres_text_active.started,pres_text_active.stopped,recall_txt_2.started,recall_txt_2.stopped,answer_box_2.text,answer_box_2.started,answer_box_2.stopped,postrecallPR_2.started,postrecallPR_2.stopped,Dificultad_activas.started,Dificultad_activas.stopped,dif_licker_2.response,dif_licker_2.rt,dif_licker_2.started,dif_licker_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,participante,sesion,pasivas,activas,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2870236716999,None,103.32819296992398,None,space,8.878673759842513,103.5147088044273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
datasets/instruccion2.png,datasets/instruccion2.png,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
datasets/instruccion3.png,datasets/instruccion3.png,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,83,0.55,38.0,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.53726547938686,None,176.0965395636788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,83,0.55,38.0,,,,,,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.096241922638,177.096241922638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,83,0.55,38.0,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,178.09695544005717,None,38,178.09695544005717,None,180.94498033516447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,16,0.55,61.0,,,,,,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.4203225197266,None,182.97839947122543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,16,0.55,61.0,,,,,,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.97923656099397,183.97923656099397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,16,0.55,61.0,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,184.9795863405343,None,61,184.9795863405343,None,186.8790953354519,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,3,497.0,0.55,794.0,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,187.87931825832788,None,203.49415350888012,None,206.0536024829421,206.0536024829421,207.0536554425205,None,794,207.0536554425205,None,209.20584854381696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,3,235.0,0.55,532.0,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,210.68080317921704,None,213.2403227660502,213.2403227660502,214.24080350764848,None,532,214.24080350764848,None,216.08859685855282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,4,6081.0,0.55,1806.0,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,217.56313561757452,None,221.122951203291,221.122951203291,222.12314785164767,None,1806,222.12314785164767,None,225.19098127119423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,4,3168.0,0.55,8613.0,,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,226.6654543439172,None,230.22522394922453,230.22522394922453,231.2250831342219,None,8613,231.2250831342219,None,235.7676868569929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,5,81423.0,0.55,32418.0,,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,237.24225928024248,None,241.8019336404168,241.8019336404168,242.80243531952283,None,32418,242.80243531952283,None,251.54802284241055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,5,90736.0,0.55,63709.0,,0,0,0,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,253.02311090310468,None,257.58230329006255,257.58230329006255,258.58277458925545,None,63709,258.58277458925545,None,266.5157113415605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,6,153624.0,0.55,426351.0,,0,0,0,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,267.9911434342439,None,273.550752518659,273.550752518659,274.55121848084013,None,426351,274.55121848084013,None,282.5173584254994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,6,819703.0,0.55,307918.0,,0,0,0,0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,283.9921135387674,None,289.5516696636041,289.5516696636041,290.5520535179119,None,,290.5520535179119,None,291.4333234803887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,7,1026597.0,0.55,7956201.0,,0,0,0,0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,292.9079771904328,None,299.46768151998094,299.46768151998094,300.46772708985077,None,7,300.46772708985077,None,303.0102503469059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,7,8765312.0,0.55,2135678.0,,0,0,0,0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,304.4848925618478,None,311.04712170850075,None,312.0462115427249,None,7,312.0462115427249,None,313.3003953494101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,8,93261458.0,0.55,85416239.0,,0,0,0,0,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,314.7751750950399,None,322.3365552462826,None,323.33653061392056,None,8,323.33653061392056,None,324.84493558637337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,8,50914738.0,0.55,83741905.0,,0,0,0,0,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,326.31971656362134,None,333.8894811603486,None,334.885358524029,None,9,334.885358524029,None,337.10634036997817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.14008506375694,None,4.078125,4.0020547495298615,338.14008506375694,None,space,2.6126746301861203,342.634967690552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
datasets/instruccion2.png,datasets/instruccion2.png,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
datasets/instruccion3.png,datasets/instruccion3.png,,,,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,72,0.75,27.0,,,,,,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.9251217249223,None,354.6881818032532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,72,0.75,27.0,,,,,,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.68841006314096,355.68841006314096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,72,0.75,27.0,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,356.6884749283611,None,27,356.6884749283611,None,358.46781412419637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,81,0.35,18.0,,,,,,1,0,1,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.9427478220887,None,360.29836235846665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,81,0.35,18.0,,,,,,1,0,1,0,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.29878151916,361.29878151916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,2,81,0.35,18.0,,,,,,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,362.2987757716089,None,18,362.2987757716089,None,363.41736088873563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,3,279.0,0.15,972.0,,1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,364.4172557906579,None,368.2144887553268,None,370.36767782512675,370.36767782512675,371.3676864464535,None,972,371.3676864464535,None,376.7577259403406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,3,148.0,0.95,841.0,,1,0,1,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,378.232471611203,None,381.1821185473475,381.1821185473475,382.1821185473475,None,841,382.1821185473475,None,385.6566983603059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,4,1652.0,0.35,2561.0,,1,0,1,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,387.1315454343917,None,390.4885907004623,390.4885907004623,391.48831974448035,None,2561,391.48831974448035,None,395.82797989999267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,4,7093.0,0.55,3907.0,,1,0,1,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,397.3029698417781,None,400.8625579886857,400.8625579886857,401.8625029764105,None,3907,401.8625029764105,None,410.66014606990666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,5,10256.0,0.95,65201.0,,1,0,1,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,412.1346794919166,None,417.0841306007833,417.0841306007833,418.08416960202317,None,,418.08416960202317,None,418.88047556880247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,5,47319.0,0.35,91374.0,,1,0,1,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,420.35515021635433,None,424.7129898760993,424.7129898760993,425.7126918245192,None,5,425.7126918245192,None,426.6628153968684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,6,982506.0,0.55,605289.0,,1,0,1,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,428.13718542421043,None,433.69606867502534,433.69606867502534,434.69624643857105,None,6,434.69624643857105,None,435.7813943559049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,6,314795.0,0.95,597413.0,,1,0,1,0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,437.2566630539204,None,443.2229651616294,None,444.2228760745868,None,6,444.2228760745868,None,445.5286601637231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.5617295202437,None,2.96354166790843,2.6705491374566463,446.5617295202437,None,space,3.3497676830388627,449.7325783514382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frfr,01,FR,FR,2022-07-05_15h18.49.198,DigitSpanTask_PR2,2022.1.3,59.06693534897163,
