instrucciones_pasiva,instrucciones_activa,digitSpan_train,digits_train,fixation_time_train,answer_train,digitSpan,digits,fixation_time,answer,BlockPasivas.thisRepN,BlockPasivas.thisTrialN,BlockPasivas.thisN,BlockPasivas.thisIndex,instrucloop_Pasivas.thisRepN,instrucloop_Pasivas.thisTrialN,instrucloop_Pasivas.thisN,instrucloop_Pasivas.thisIndex,trial_trainingPasivas.thisRepN,trial_trainingPasivas.thisTrialN,trial_trainingPasivas.thisN,trial_trainingPasivas.thisIndex,train_digitloopPasivas.thisRepN,train_digitloopPasivas.thisTrialN,train_digitloopPasivas.thisN,train_digitloopPasivas.thisIndex,trial_Pasiva.thisRepN,trial_Pasiva.thisTrialN,trial_Pasiva.thisN,trial_Pasiva.thisIndex,digitLoop_Pasivas.thisRepN,digitLoop_Pasivas.thisTrialN,digitLoop_Pasivas.thisN,digitLoop_Pasivas.thisIndex,BlockActivas.thisRepN,BlockActivas.thisTrialN,BlockActivas.thisN,BlockActivas.thisIndex,intrLoopActivas.thisRepN,intrLoopActivas.thisTrialN,intrLoopActivas.thisN,intrLoopActivas.thisIndex,trial_train_Activas.thisRepN,trial_train_Activas.thisTrialN,trial_train_Activas.thisN,trial_train_Activas.thisIndex,train_digitloop_Activas.thisRepN,train_digitloop_Activas.thisTrialN,train_digitloop_Activas.thisN,train_digitloop_Activas.thisIndex,trialActivas.thisRepN,trialActivas.thisTrialN,trialActivas.thisN,trialActivas.thisIndex,digitLoop_Activas.thisRepN,digitLoop_Activas.thisTrialN,digitLoop_Activas.thisN,digitLoop_Activas.thisIndex,bienv2.started,bienv2.stopped,key_bienv.keys,key_bienv.rt,key_bienv.started,key_bienv.stopped,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,correct,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,post_recall_training.started,post_recall_training.stopped,end_training.started,end_training.stopped,first_fix_pas.started,first_fix_pas.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,postrecallPR.started,postrecallPR.stopped,Dificultad_pasivas.started,Dificultad_pasivas.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,continuetrial_pasivas.keys,continuetrial_pasivas.rt,continuetrial_pasivas.started,continuetrial_pasivas.stopped,firstfix_activas.started,firstfix_activas.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,firsfixtrain_activa.started,firsfixtrain_activa.stopped,digitpresentation_training_2.started,digitpresentation_training_2.stopped,recall_train_2.started,recall_train_2.stopped,answ_train_2.text,answ_train_2.started,answ_train_2.stopped,post_recall_training_2.started,post_recall_training_2.stopped,end_training_2.started,end_training_2.stopped,first_fix_active.started,first_fix_active.stopped,pres_text_active.started,pres_text_active.stopped,recall_txt_2.started,recall_txt_2.stopped,answer_box_2.text,answer_box_2.started,answer_box_2.stopped,postrecallPR_2.started,postrecallPR_2.stopped,Dificultad_activas.started,Dificultad_activas.stopped,dif_licker_2.response,dif_licker_2.rt,dif_licker_2.started,dif_licker_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,participante,sesion,pasivas,activas,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.179836769546455,None,space,10.301431999672786,42.36674795346153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
datasets/instruccion2.png,datasets/instruccion2.png,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
datasets/instruccion3.png,datasets/instruccion3.png,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,83,0.55,38.0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7563547388545,None,85.31587268353178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,83,0.55,38.0,,,,,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.31591579016458,86.31591579016458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,83,0.55,38.0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87.31623313709497,None,,87.31623313709497,None,91.60447939502956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,16,0.55,61.0,,,,,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.07900337463252,None,93.63839282048684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,16,0.55,61.0,,,,,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.63862970170157,94.63862970170157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,16,0.55,61.0,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,95.63867568211026,None,61,95.63867568211026,None,97.99523445903105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,3,497.0,0.55,794.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,98.99527838674476,None,114.03065784828141,None,116.590078905665,116.590078905665,117.59034165086086,None,794,117.59034165086086,None,119.86177098471853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,3,235.0,0.55,532.0,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,121.33770188273229,None,123.89720669014969,123.89720669014969,124.89742468655277,None,,124.89742468655277,None,127.20297066285639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,4,6081.0,0.55,1806.0,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,128.67751927482277,None,132.23710413741537,132.23710413741537,133.23719117176006,None,1806,133.23719117176006,None,137.77989342397996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,4,3168.0,0.55,8613.0,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,139.2551473425774,None,142.81470798334885,142.81470798334885,143.81445427001927,None,,143.81445427001927,None,145.290038672807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,5,81423.0,0.55,32418.0,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,146.7646344968016,None,151.32430721481796,151.32430721481796,152.3245071474903,None,32418,152.3245071474903,None,159.39382343522811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,5,90736.0,0.55,63709.0,0,0,0,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,160.8692013367163,None,165.42866714289266,165.42866714289266,166.42910518839562,None,63719,166.42910518839562,None,171.9548049527457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,6,153624.0,0.55,426351.0,0,0,0,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,173.42947426328647,None,178.98953658316168,None,179.9897714116796,None,,179.9897714116796,None,181.20990795707257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,6,819703.0,0.55,307918.0,0,0,0,0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,182.68498411212568,None,188.24494954471083,188.24494954471083,189.24519751048865,None,6,189.24519751048865,None,191.71989884309914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,7,1026597.0,0.55,7956201.0,0,0,0,0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,193.19572669573245,None,199.7542223973851,199.7542223973851,200.75458408256782,None,7,200.75458408256782,None,203.05968503419717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,7,8765312.0,0.55,2135678.0,0,0,0,0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,204.53452882396778,None,211.09430089251146,None,212.09497130329692,None,7,212.09497130329692,None,214.04358162754215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.07763094153051,None,3.0052083334885538,5.673640498886016,215.07763094153051,None,space,9.528608884664209,221.24875976057228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
datasets/instruccion2.png,datasets/instruccion2.png,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
datasets/instruccion3.png,datasets/instruccion3.png,,,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,72,0.75,27.0,,,,,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.5049260618598,None,246.26768767807152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,72,0.75,27.0,,,,,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.26768767807152,247.26768767807152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,72,0.75,27.0,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,248.26787939995484,None,27,248.26787939995484,None,250.45431682143862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,81,0.35,18.0,,,,,1,0,1,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.92907029255002,None,252.28524808893962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,81,0.35,18.0,,,,,1,0,1,0,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.28519184504512,253.28519184504512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,2,81,0.35,18.0,,,,,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,254.30235731704306,None,18,254.30235731704306,None,255.33622270939486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,3,279.0,0.15,972.0,1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,256.3362292780257,None,259.0991349935539,None,261.25166884252394,261.25166884252394,262.25177517222073,None,972,262.25177517222073,None,268.0667947549482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,3,148.0,0.95,841.0,1,0,1,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,269.54114014992774,None,272.4904849290997,272.4904849290997,273.49057853207523,None,841,273.49057853207523,None,278.55878636352463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,4,1652.0,0.35,2561.0,1,0,1,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,280.03326272056256,None,283.3894770549541,None,284.38922334162635,None,2561,284.38922334162635,None,289.9662721383356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,4,7093.0,0.55,3907.0,1,0,1,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,291.4413786733003,None,295.00121724922064,295.00121724922064,296.00148245765195,None,,296.00148245765195,None,297.9509852944793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,5,10256.0,0.95,65201.0,1,0,1,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,299.4260745867923,None,304.37615176819236,304.37615176819236,305.3762404446952,None,,305.3762404446952,None,307.1899725759704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,5,47319.0,0.35,91374.0,1,0,1,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,308.66456922104226,None,313.0209494133396,313.0209494133396,314.02095269765414,None,,314.02095269765414,None,315.10589986123705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,6,982506.0,0.55,605289.0,1,0,1,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,316.58096287903027,None,322.14075670615966,322.14075670615966,323.14100138762296,None,,323.14100138762296,None,324.7005899450687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,6,314795.0,0.95,597413.0,1,0,1,0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,326.1759559409147,None,332.1432018786272,None,333.143318471808,None,,333.143318471808,None,333.7877864538423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.8046538742601,None,3.9947916865348816,13.422765639495992,334.8046538742601,None,space,4.107630323029298,348.7211263558056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frrf,01,FR,RF,2022-07-05_17h52.15.283,DigitSpanTask_PR2,2022.1.3,58.96512908601819,
